,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
15300,23,11,12,12,0,7,1303.0,47,23,24,24,0,9,1697.0,35,17,18,18,0,10,1632.0,39,19,20,20,0,7,2636.0,21,10,11,11,0,6,752.0,327,163,164,164,0,17,20824.0,17,8,9,9,0,5,962.0,43,21,22,22,0,9,1703.0,47,23,24,24,0,8,2102.0,27,13,14,14,0,8,1004.0,125,62,63,63,0,13,6340.0,37,18,19,19,0,8,2447.0,35,17,18,18,0,9,1587.0,31,15,16,16,0,9,1523.0,327,163,164,164,0,18,20506.0,325,162,163,163,0,14,20213.0,291,145,146,146,0,14,22000.0,19,9,10,10,0,6,808.0,37,18,19,19,0,9,1553.0,37,18,19,19,0,10,1872.0
15400,35,17,18,18,0,9,1874.0,65,32,33,33,0,10,2291.0,13,6,7,7,0,5,637.0,53,26,27,27,0,8,3220.0,31,15,16,16,0,7,1338.0,335,167,168,168,0,17,21422.0,35,17,18,18,0,8,1570.0,55,27,28,28,0,10,2360.0,63,31,32,32,0,9,2726.0,31,15,16,16,0,8,1578.0,135,67,68,68,0,13,6938.0,49,24,25,25,0,9,3031.0,39,19,20,20,0,10,2190.0,45,22,23,23,0,10,2092.0,337,168,169,169,0,18,21112.0,335,167,168,168,0,14,20823.0,301,150,151,151,0,14,22620.0,27,13,14,14,0,7,1353.0,47,23,24,24,0,11,2177.0,41,20,21,21,0,10,2500.0
15500,47,23,24,24,0,9,2473.0,71,35,36,36,0,10,2913.0,25,12,13,13,0,6,1255.0,61,30,31,31,0,8,3804.0,43,21,22,22,0,8,1966.0,343,171,172,172,0,17,21998.0,43,21,22,22,0,9,2172.0,67,33,34,34,0,11,2953.0,1,0,1,1,0,1,215.0,49,24,25,25,0,10,2166.0,143,71,72,72,0,13,7539.0,59,29,30,30,0,9,3652.0,49,24,25,25,0,10,2848.0,53,26,27,27,0,10,2705.0,349,174,175,175,0,18,21697.0,349,174,175,175,0,14,21419.0,311,155,156,156,0,14,23234.0,33,16,17,17,0,7,1964.0,55,27,28,28,0,11,2780.0,53,26,27,27,0,11,3083.0
15600,57,28,29,29,0,11,3086.0,75,37,38,38,0,10,3529.0,41,20,21,21,0,9,1907.0,69,34,35,35,0,9,4347.0,59,29,30,30,0,9,2555.0,355,177,178,178,0,17,22634.0,47,23,24,24,0,9,2735.0,79,39,40,40,0,12,3551.0,13,6,7,7,0,6,804.0,55,27,28,28,0,11,2781.0,153,76,77,77,0,13,8133.0,69,34,35,35,0,10,4237.0,59,29,30,30,0,11,3435.0,11,5,6,6,0,5,475.0,357,178,179,179,0,18,22296.0,361,180,181,181,0,14,22068.0,315,157,158,158,0,14,23814.0,43,21,22,22,0,8,2550.0,69,34,35,35,0,14,3350.0,7,3,4,4,0,4,659.0
15700,69,34,35,35,0,12,3686.0,95,47,48,48,0,11,4127.0,53,26,27,27,0,9,2524.0,81,40,41,41,0,9,4914.0,65,32,33,33,0,9,3162.0,369,184,185,185,0,17,23207.0,57,28,29,29,0,9,3328.0,89,44,45,45,0,12,4158.0,19,9,10,10,0,7,1411.0,69,34,35,35,0,13,3383.0,159,79,80,80,0,13,8694.0,79,39,40,40,0,10,4827.0,69,34,35,35,0,11,4033.0,19,9,10,10,0,7,1142.0,369,184,185,185,0,18,22918.0,67,33,34,34,0,12,3523.0,329,164,165,165,0,14,24440.0,51,25,26,26,0,9,3110.0,81,40,41,41,0,14,3927.0,13,6,7,7,0,5,1280.0
15800,77,38,39,39,0,12,4287.0,103,51,52,52,0,11,4706.0,65,32,33,33,0,9,3145.0,95,47,48,48,0,9,5491.0,77,38,39,39,0,10,3791.0,375,187,188,188,0,17,23814.0,65,32,33,33,0,10,3916.0,99,49,50,50,0,12,4752.0,37,18,19,19,0,10,1980.0,13,6,7,7,0,5,698.0,171,85,86,86,0,13,9285.0,91,45,46,46,0,11,5431.0,79,39,40,40,0,11,4639.0,29,14,15,15,0,8,1732.0,383,191,192,192,0,18,23482.0,79,39,40,40,0,12,4110.0,339,169,170,170,0,14,25022.0,61,30,31,31,0,10,3696.0,89,44,45,45,0,14,4524.0,21,10,11,11,0,6,1850.0
15900,95,47,48,48,0,12,4934.0,123,61,62,62,0,12,5297.0,79,39,40,40,0,9,3732.0,105,52,53,53,0,10,6123.0,89,44,45,45,0,10,4437.0,383,191,192,192,0,17,24425.0,81,40,41,41,0,10,4522.0,109,54,55,55,0,12,5370.0,9,4,5,5,0,5,524.0,23,11,12,12,0,6,1294.0,183,91,92,92,0,14,9868.0,105,52,53,53,0,12,5999.0,81,40,41,41,0,11,5236.0,39,19,20,20,0,9,2304.0,395,197,198,198,0,18,24070.0,93,46,47,47,0,13,4743.0,347,173,174,174,0,14,25594.0,75,37,38,38,0,11,4303.0,101,50,51,51,0,14,5109.0,13,6,7,7,0,5,502.0
16000,105,52,53,53,0,13,5550.0,131,65,66,66,0,12,5866.0,89,44,45,45,0,10,4308.0,5,2,3,3,0,3,278.0,101,50,51,51,0,11,5060.0,391,195,196,196,0,17,25056.0,93,46,47,47,0,10,5144.0,123,61,62,62,0,12,5964.0,19,9,10,10,0,8,1118.0,31,15,16,16,0,8,1849.0,193,96,97,97,0,14,10442.0,117,58,59,59,0,12,6617.0,97,48,49,49,0,11,5852.0,47,23,24,24,0,9,2907.0,413,206,207,207,0,18,24686.0,103,51,52,52,0,13,5371.0,355,177,178,178,0,14,26226.0,7,3,4,4,0,4,411.0,109,54,55,55,0,14,5697.0,21,10,11,11,0,6,1072.0
16100,125,62,63,63,0,13,6134.0,143,71,72,72,0,12,6483.0,105,52,53,53,0,11,4914.0,21,10,11,11,0,5,861.0,105,52,53,53,0,11,5679.0,393,196,197,197,0,17,25705.0,105,52,53,53,0,10,5751.0,133,66,67,67,0,12,6523.0,27,13,14,14,0,9,1725.0,41,20,21,21,0,8,2430.0,3,1,2,2,0,2,106.0,127,63,64,64,0,13,7220.0,111,55,56,56,0,12,6474.0,61,30,31,31,0,10,3474.0,421,210,211,211,0,18,25285.0,117,58,59,59,0,13,5964.0,367,183,184,184,0,14,26830.0,17,8,9,9,0,5,1027.0,125,62,63,63,0,15,6304.0,11,5,6,6,0,5,555.0
16200,141,70,71,71,0,14,6702.0,155,77,78,78,0,13,7058.0,119,59,60,60,0,11,5564.0,31,15,16,16,0,6,1502.0,115,57,58,58,0,11,6286.0,407,203,204,204,0,17,26295.0,113,56,57,57,0,11,6368.0,147,73,74,74,0,13,7113.0,31,15,16,16,0,7,1340.0,45,22,23,23,0,9,3053.0,9,4,5,5,0,4,654.0,139,69,70,70,0,13,7832.0,127,63,64,64,0,12,7064.0,71,35,36,36,0,11,4124.0,423,211,212,212,0,18,25876.0,123,61,62,62,0,13,6568.0,373,186,187,187,0,14,27415.0,27,13,14,14,0,6,1599.0,137,68,69,69,0,15,6893.0,25,12,13,13,0,6,1162.0
