,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
3900,5,2,3,3,0,3,369.0,13,6,7,7,0,5,533.0,17,8,9,9,0,6,1364.0,17,8,9,9,0,6,1444.0,19,9,10,10,0,6,1666.0,9,4,5,5,0,5,1848.0,21,10,11,11,0,6,1677.0,13,6,7,7,0,5,1757.0,11,5,6,6,0,4,1771.0,9,4,5,5,0,4,467.0,7,3,4,4,0,3,560.0,1,0,1,1,0,1,16.0,19.0,9.0,10.0,10,0,6.0,1216.0,13,6,7,7,0,5,862.0,9,4,5,5,0,4,925.0,5,2,3,3,0,3,379.0,5,2,3,3,0,3,462.0,25,12,13,13,0,6,1760.0,3,1,2,2,0,2,452.0,3,1,2,2,0,2,50.0
4000,5,2,3,3,0,3,427.0,15,7,8,8,0,5,588.0,19,9,10,10,0,6,1413.0,17,8,9,9,0,6,1493.0,19,9,10,10,0,6,1714.0,9,4,5,5,0,5,1907.0,21,10,11,11,0,6,1723.0,13,6,7,7,0,5,1806.0,11,5,6,6,0,4,1822.0,9,4,5,5,0,4,527.0,11,5,6,6,0,4,621.0,1,0,1,1,0,1,65.0,21.0,10.0,11.0,11,0,6.0,1282.0,15,7,8,8,0,5,912.0,11,5,6,6,0,4,970.0,5,2,3,3,0,3,423.0,5,2,3,3,0,3,512.0,25,12,13,13,0,6,1805.0,3,1,2,2,0,2,509.0,3,1,2,2,0,2,98.0
4100,7,3,4,4,0,4,478.0,17,8,9,9,0,5,639.0,19,9,10,10,0,6,1466.0,3,1,2,2,0,2,135.0,19,9,10,10,0,6,1772.0,3,1,2,2,0,2,120.0,21,10,11,11,0,6,1773.0,15,7,8,8,0,5,1860.0,11,5,6,6,0,4,1870.0,11,5,6,6,0,5,573.0,11,5,6,6,0,4,671.0,1,0,1,1,0,1,110.0,21.0,10.0,11.0,11,0,6.0,1333.0,15,7,8,8,0,5,965.0,13,6,7,7,0,5,1022.0,5,2,3,3,0,3,472.0,5,2,3,3,0,3,558.0,25,12,13,13,0,6,1852.0,3,1,2,2,0,2,559.0,3,1,2,2,0,2,148.0
4200,7,3,4,4,0,4,525.0,17,8,9,9,0,5,692.0,19,9,10,10,0,6,1515.0,3,1,2,2,0,2,188.0,19,9,10,10,0,6,1817.0,3,1,2,2,0,2,169.0,21,10,11,11,0,6,1831.0,17,8,9,9,0,6,1902.0,13,6,7,7,0,4,1920.0,13,6,7,7,0,5,622.0,13,6,7,7,0,4,725.0,3,1,2,2,0,2,161.0,21.0,10.0,11.0,11,0,6.0,1385.0,3,1,2,2,0,2,134.0,13,6,7,7,0,5,1069.0,5,2,3,3,0,3,521.0,5,2,3,3,0,3,615.0,25,12,13,13,0,6,1903.0,3,1,2,2,0,2,605.0,5,2,3,3,0,3,192.0
4300,9,4,5,5,0,4,571.0,17,8,9,9,0,5,750.0,19,9,10,10,0,6,1564.0,7,3,4,4,0,3,236.0,19,9,10,10,0,6,1865.0,3,1,2,2,0,2,220.0,21,10,11,11,0,6,1878.0,17,8,9,9,0,6,1947.0,13,6,7,7,0,4,1970.0,13,6,7,7,0,5,668.0,13,6,7,7,0,4,774.0,3,1,2,2,0,2,209.0,21.0,10.0,11.0,11,0,6.0,1437.0,5,2,3,3,0,3,186.0,1,0,1,1,0,1,4.0,7,3,4,4,0,4,579.0,7,3,4,4,0,4,660.0,25,12,13,13,0,6,1963.0,5,2,3,3,0,3,648.0,5,2,3,3,0,3,245.0
4400,9,4,5,5,0,4,616.0,17,8,9,9,0,5,800.0,19,9,10,10,0,6,1616.0,7,3,4,4,0,3,283.0,19,9,10,10,0,6,1914.0,3,1,2,2,0,2,270.0,21,10,11,11,0,6,1930.0,19,9,10,10,0,6,1992.0,13,6,7,7,0,4,2025.0,13,6,7,7,0,5,718.0,13,6,7,7,0,4,821.0,3,1,2,2,0,2,265.0,21.0,10.0,11.0,11,0,6.0,1489.0,5,2,3,3,0,3,239.0,1,0,1,1,0,1,56.0,7,3,4,4,0,4,625.0,7,3,4,4,0,4,703.0,31,15,16,16,0,7,2015.0,5,2,3,3,0,3,700.0,5,2,3,3,0,3,301.0
4500,9,4,5,5,0,4,670.0,17,8,9,9,0,5,849.0,19,9,10,10,0,6,1663.0,7,3,4,4,0,3,341.0,19,9,10,10,0,6,1957.0,3,1,2,2,0,2,325.0,21,10,11,11,0,6,1989.0,19,9,10,10,0,6,2043.0,13,6,7,7,0,4,2067.0,13,6,7,7,0,5,768.0,3,1,2,2,0,2,64.0,3,1,2,2,0,2,316.0,23.0,11.0,12.0,12,0,6.0,1538.0,5,2,3,3,0,3,287.0,3,1,2,2,0,2,106.0,7,3,4,4,0,4,668.0,3,1,2,2,0,2,132.0,33,16,17,17,0,7,2064.0,5,2,3,3,0,3,748.0,5,2,3,3,0,3,354.0
4600,1,0,1,1,0,1,29.0,17,8,9,9,0,5,896.0,19,9,10,10,0,6,1712.0,7,3,4,4,0,3,390.0,19,9,10,10,0,6,2006.0,3,1,2,2,0,2,371.0,21,10,11,11,0,6,2041.0,19,9,10,10,0,6,2096.0,13,6,7,7,0,4,2112.0,13,6,7,7,0,5,813.0,3,1,2,2,0,2,105.0,3,1,2,2,0,2,367.0,23.0,11.0,12.0,12,0,6.0,1586.0,5,2,3,3,0,3,334.0,3,1,2,2,0,2,159.0,9,4,5,5,0,5,720.0,3,1,2,2,0,2,182.0,33,16,17,17,0,7,2119.0,5,2,3,3,0,3,799.0,5,2,3,3,0,3,411.0
4700,1,0,1,1,0,1,77.0,17,8,9,9,0,5,952.0,19,9,10,10,0,6,1758.0,7,3,4,4,0,3,443.0,19,9,10,10,0,6,2059.0,3,1,2,2,0,2,418.0,21,10,11,11,0,6,2093.0,19,9,10,10,0,6,2154.0,13,6,7,7,0,4,2170.0,13,6,7,7,0,5,861.0,3,1,2,2,0,2,154.0,3,1,2,2,0,2,419.0,23.0,11.0,12.0,12,0,6.0,1638.0,5,2,3,3,0,3,377.0,3,1,2,2,0,2,198.0,13,6,7,7,0,5,766.0,3,1,2,2,0,2,227.0,33,16,17,17,0,7,2173.0,5,2,3,3,0,3,852.0,7,3,4,4,0,3,458.0
4800,3,1,2,2,0,2,117.0,23,11,12,12,0,6,1007.0,19,9,10,10,0,6,1804.0,7,3,4,4,0,3,496.0,21,10,11,11,0,7,2107.0,3,1,2,2,0,2,465.0,9,4,5,5,0,4,454.0,3,1,2,2,0,2,200.0,15,7,8,8,0,5,2217.0,15,7,8,8,0,5,907.0,3,1,2,2,0,2,199.0,3,1,2,2,0,2,465.0,25.0,12.0,13.0,13,0,6.0,1688.0,5,2,3,3,0,3,434.0,3,1,2,2,0,2,242.0,13,6,7,7,0,5,821.0,5,2,3,3,0,3,272.0,33,16,17,17,0,7,2231.0,5,2,3,3,0,3,905.0,7,3,4,4,0,3,503.0
