,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
8900,15,7,8,8,0,6,1903.0,37,18,19,19,0,8,3237.0,17,8,9,9,0,5,2165.0,7,3,4,4,0,3,843.0,33,16,17,17,0,8,3994.0,25,12,13,13,0,6,1978.0,19,9,10,10,0,5,2212.0,21,10,11,11,0,6,1658.0,7,3,4,4,0,3,832.0,11,5,6,6,0,4,871.0,9,4,5,5,0,4,1319.0,13,6,7,7,0,5,1088.0,33,16,17,17,0,7,4367.0,55,27,28,28,0,8,4457.0,23,11,12,12,0,7,3043.0,15,7,8,8,0,6,2038.0,21,10,11,11,0,5,1784.0,21,10,11,11,0,6,2144.0,21,10,11,11,0,5,2418.0,13,6,7,7,0,5,797.0
9000,15,7,8,8,0,6,1959.0,39,19,20,20,0,8,3291.0,19,9,10,10,0,5,2206.0,7,3,4,4,0,3,890.0,33,16,17,17,0,8,4049.0,27,13,14,14,0,6,2028.0,19,9,10,10,0,5,2261.0,21,10,11,11,0,6,1704.0,7,3,4,4,0,3,878.0,11,5,6,6,0,4,929.0,9,4,5,5,0,4,1370.0,13,6,7,7,0,5,1142.0,33,16,17,17,0,7,4421.0,55,27,28,28,0,8,4502.0,23,11,12,12,0,7,3092.0,15,7,8,8,0,6,2091.0,23,11,12,12,0,5,1839.0,21,10,11,11,0,6,2197.0,21,10,11,11,0,5,2471.0,13,6,7,7,0,5,844.0
9100,15,7,8,8,0,6,2007.0,39,19,20,20,0,8,3331.0,19,9,10,10,0,5,2246.0,7,3,4,4,0,3,938.0,35,17,18,18,0,8,4102.0,27,13,14,14,0,6,2077.0,19,9,10,10,0,5,2310.0,21,10,11,11,0,6,1757.0,7,3,4,4,0,3,934.0,13,6,7,7,0,5,988.0,9,4,5,5,0,4,1416.0,13,6,7,7,0,5,1190.0,33,16,17,17,0,7,4476.0,55,27,28,28,0,8,4557.0,23,11,12,12,0,7,3138.0,15,7,8,8,0,6,2145.0,23,11,12,12,0,5,1880.0,21,10,11,11,0,6,2249.0,21,10,11,11,0,5,2526.0,13,6,7,7,0,5,892.0
9200,15,7,8,8,0,6,2065.0,39,19,20,20,0,8,3381.0,19,9,10,10,0,5,2290.0,7,3,4,4,0,3,988.0,39,19,20,20,0,8,4164.0,27,13,14,14,0,6,2138.0,19,9,10,10,0,5,2362.0,21,10,11,11,0,6,1813.0,7,3,4,4,0,3,982.0,13,6,7,7,0,5,1038.0,9,4,5,5,0,4,1470.0,13,6,7,7,0,5,1250.0,33,16,17,17,0,7,4525.0,55,27,28,28,0,8,4614.0,23,11,12,12,0,7,3185.0,15,7,8,8,0,6,2204.0,23,11,12,12,0,5,1943.0,21,10,11,11,0,6,2300.0,21,10,11,11,0,5,2569.0,13,6,7,7,0,5,939.0
9300,15,7,8,8,0,6,2107.0,39,19,20,20,0,8,3426.0,19,9,10,10,0,5,2344.0,7,3,4,4,0,3,1041.0,41,20,21,21,0,8,4215.0,27,13,14,14,0,6,2177.0,19,9,10,10,0,5,2413.0,23,11,12,12,0,6,1863.0,7,3,4,4,0,3,1037.0,13,6,7,7,0,5,1095.0,9,4,5,5,0,4,1520.0,13,6,7,7,0,5,1301.0,33,16,17,17,0,7,4581.0,55,27,28,28,0,8,4659.0,23,11,12,12,0,7,3245.0,17,8,9,9,0,7,2249.0,23,11,12,12,0,5,1994.0,21,10,11,11,0,6,2352.0,21,10,11,11,0,5,2623.0,13,6,7,7,0,5,980.0
9400,17,8,9,9,0,7,2157.0,39,19,20,20,0,8,3472.0,19,9,10,10,0,5,2402.0,7,3,4,4,0,3,1089.0,41,20,21,21,0,8,4263.0,27,13,14,14,0,6,2231.0,19,9,10,10,0,5,2460.0,23,11,12,12,0,6,1917.0,7,3,4,4,0,3,1088.0,15,7,8,8,0,5,1150.0,9,4,5,5,0,4,1570.0,13,6,7,7,0,5,1355.0,33,16,17,17,0,7,4627.0,55,27,28,28,0,8,4712.0,23,11,12,12,0,7,3290.0,17,8,9,9,0,7,2302.0,23,11,12,12,0,5,2044.0,23,11,12,12,0,6,2402.0,21,10,11,11,0,5,2671.0,13,6,7,7,0,5,1031.0
9500,17,8,9,9,0,7,2209.0,39,19,20,20,0,8,3523.0,19,9,10,10,0,5,2448.0,7,3,4,4,0,3,1145.0,41,20,21,21,0,8,4309.0,27,13,14,14,0,6,2276.0,21,10,11,11,0,5,2517.0,23,11,12,12,0,6,1968.0,7,3,4,4,0,3,1137.0,15,7,8,8,0,5,1205.0,9,4,5,5,0,4,1616.0,13,6,7,7,0,5,1402.0,35,17,18,18,0,7,4669.0,55,27,28,28,0,8,4767.0,23,11,12,12,0,7,3345.0,19,9,10,10,0,7,2347.0,25,12,13,13,0,6,2096.0,23,11,12,12,0,6,2441.0,21,10,11,11,0,5,2719.0,13,6,7,7,0,5,1074.0
9600,17,8,9,9,0,7,2262.0,41,20,21,21,0,9,3569.0,19,9,10,10,0,5,2504.0,7,3,4,4,0,3,1193.0,41,20,21,21,0,8,4362.0,27,13,14,14,0,6,2318.0,23,11,12,12,0,6,2569.0,25,12,13,13,0,6,2018.0,7,3,4,4,0,3,1184.0,15,7,8,8,0,5,1263.0,9,4,5,5,0,4,1665.0,13,6,7,7,0,5,1448.0,35,17,18,18,0,7,4721.0,55,27,28,28,0,8,4818.0,23,11,12,12,0,7,3398.0,21,10,11,11,0,7,2399.0,25,12,13,13,0,6,2146.0,23,11,12,12,0,6,2489.0,21,10,11,11,0,5,2773.0,13,6,7,7,0,5,1120.0
9700,17,8,9,9,0,7,2315.0,41,20,21,21,0,9,3626.0,19,9,10,10,0,5,2561.0,11,5,6,6,0,4,1247.0,41,20,21,21,0,8,4414.0,27,13,14,14,0,6,2370.0,23,11,12,12,0,6,2628.0,25,12,13,13,0,6,2067.0,7,3,4,4,0,3,1231.0,15,7,8,8,0,5,1315.0,9,4,5,5,0,4,1716.0,13,6,7,7,0,5,1488.0,35,17,18,18,0,7,4773.0,55,27,28,28,0,8,4871.0,23,11,12,12,0,7,3445.0,21,10,11,11,0,7,2446.0,25,12,13,13,0,6,2203.0,25,12,13,13,0,6,2534.0,21,10,11,11,0,5,2823.0,15,7,8,8,0,6,1178.0
9800,17,8,9,9,0,7,2369.0,41,20,21,21,0,9,3678.0,19,9,10,10,0,5,2611.0,11,5,6,6,0,4,1301.0,41,20,21,21,0,8,4468.0,29,14,15,15,0,6,2422.0,23,11,12,12,0,6,2683.0,25,12,13,13,0,6,2109.0,7,3,4,4,0,3,1283.0,15,7,8,8,0,5,1360.0,9,4,5,5,0,4,1762.0,13,6,7,7,0,5,1535.0,35,17,18,18,0,7,4813.0,57,28,29,29,0,8,4921.0,23,11,12,12,0,7,3489.0,21,10,11,11,0,7,2487.0,25,12,13,13,0,6,2258.0,25,12,13,13,0,6,2575.0,21,10,11,11,0,5,2874.0,15,7,8,8,0,6,1231.0
