,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
3500,29,13,16,16,0,6,3444.0,32,15,17,17,0,6,1790.0,5,2,3,3,0,3,196.0,9,4,5,5,0,4,1737.0,26,12,14,14,0,7,1783.0,6,2,4,4,0,3,220.0,17,7,10,10,0,5,815.0,27,12,15,15,0,7,1778.0,26,12,14,14,0,6,1628.0,54,25,29,29,0,9,3475.0,40,19,21,21,0,8,3408.0,20,9,11,11,0,5,1520.0,23,10,13,13,0,6,1430.0,29,13,16,16,0,9,1701.0,45.0,21.0,24.0,24,0,9.0,3346.0,16,7,9,9,0,5,1031.0,37,17,20,20,0,7,3345.0,30,14,16,16,0,7,1533.0,3,1,2,2,0,2,201.0,37,18,19,19,0,7,3308.0
3600,35,16,19,19,0,6,4065.0,42,20,22,22,0,6,2400.0,16,7,9,9,0,5,817.0,19,9,10,10,0,6,2339.0,1,0,1,1,0,1,204.0,14,6,8,8,0,5,865.0,25,11,14,14,0,6,1436.0,1,0,1,1,0,1,420.0,3,1,2,2,0,2,622.0,8,3,5,5,0,4,848.0,1,0,1,1,0,1,409.0,10,4,6,6,0,4,815.0,35,16,19,19,0,6,2028.0,45,21,24,24,0,11,2291.0,27.0,13.0,14.0,14,0,7.0,2172.0,30,14,16,16,0,6,1620.0,45,21,24,24,0,8,3950.0,14,6,8,8,0,5,810.0,11,5,6,6,0,5,755.0,47,23,24,24,0,8,3900.0
3700,41,19,22,22,0,6,4651.0,9,4,5,5,0,4,1015.0,24,11,13,13,0,6,1402.0,14,6,8,8,0,5,1175.0,9,4,5,5,0,4,802.0,20,9,11,11,0,6,1463.0,39,18,21,21,0,7,2052.0,5,2,3,3,0,3,1044.0,15,7,8,8,0,5,1231.0,18,8,10,10,0,5,1443.0,9,4,5,5,0,4,986.0,23,10,13,13,0,5,1431.0,39,18,21,21,0,7,2662.0,55,26,29,29,0,12,2882.0,29.0,14.0,15.0,15,0,7.0,2727.0,38,18,20,20,0,7,2222.0,5,2,3,3,0,3,251.0,28,12,16,16,0,6,1402.0,20,9,11,11,0,7,1378.0,49,24,25,25,0,9,4439.0
3800,57,27,30,30,0,8,5236.0,19,9,10,10,0,5,1626.0,34,16,18,18,0,7,2002.0,24,11,13,13,0,6,1772.0,23,11,12,12,0,6,1388.0,34,16,18,18,0,8,2089.0,53,25,28,28,0,8,2650.0,17,8,9,9,0,7,1677.0,33,15,18,18,0,7,1815.0,24,11,13,13,0,6,2040.0,17,8,9,9,0,6,1574.0,31,14,17,17,0,6,2046.0,45,21,24,24,0,7,3248.0,65,31,34,34,0,12,3454.0,45.0,22.0,23.0,23,0,7.0,3366.0,46,22,24,24,0,7,2811.0,20,9,11,11,0,6,842.0,44,20,24,24,0,7,2022.0,30,14,16,16,0,8,2008.0,59,29,30,30,0,9,5097.0
3900,69,33,36,36,0,8,5849.0,34,16,18,18,0,6,2231.0,49,23,26,26,0,7,2569.0,39,18,21,21,0,7,2395.0,34,16,18,18,0,7,2001.0,40,19,21,21,0,8,2687.0,63,30,33,33,0,8,3296.0,28,13,15,15,0,8,2285.0,35,16,19,19,0,7,2367.0,35,16,19,19,0,7,2679.0,23,11,12,12,0,6,2180.0,45,21,24,24,0,8,2638.0,59,28,31,31,0,8,3850.0,77,37,40,40,0,13,4114.0,55.0,27.0,28.0,28,0,8.0,3966.0,50,24,26,26,0,7,3406.0,31,14,17,17,0,8,1465.0,52,24,28,28,0,8,2644.0,49,23,26,26,0,9,2624.0,73,35,38,38,0,9,5655.0
4000,77,37,40,40,0,9,6437.0,40,19,21,21,0,6,2848.0,53,25,28,28,0,8,3141.0,53,25,28,28,0,8,2982.0,43,20,23,23,0,8,2584.0,57,27,30,30,0,9,3300.0,73,35,38,38,0,9,3879.0,40,18,22,22,0,9,2881.0,47,22,25,25,0,7,2955.0,47,22,25,25,0,7,3291.0,31,15,16,16,0,7,2781.0,53,25,28,28,0,8,3261.0,67,32,35,35,0,9,4483.0,87,42,45,45,0,13,4713.0,65.0,32.0,33.0,33,0,8.0,4578.0,66,32,34,34,0,8,3959.0,41,19,22,22,0,8,2069.0,63,29,34,34,0,9,3221.0,59,28,31,31,0,10,3209.0,81,39,42,42,0,10,6278.0
4100,79,38,41,41,0,9,7055.0,52,25,27,27,0,7,3465.0,57,27,30,30,0,8,3730.0,59,28,31,31,0,8,3539.0,52,24,28,28,0,8,3154.0,61,29,32,32,0,9,3887.0,87,42,45,45,0,10,4507.0,52,23,29,29,0,10,3518.0,59,28,31,31,0,8,3547.0,59,28,31,31,0,8,3848.0,46,21,25,25,0,7,3400.0,66,31,35,35,0,8,3831.0,75,36,39,39,0,9,5068.0,94,45,49,49,0,13,5322.0,71.0,35.0,36.0,36,0,9.0,5181.0,74,36,38,38,0,8,4577.0,54,25,29,29,0,9,2654.0,77,36,41,41,0,9,3789.0,64,30,34,34,0,10,3785.0,88,42,46,46,0,10,6894.0
4200,91,44,47,47,0,9,7631.0,64,31,33,33,0,8,4013.0,73,35,38,38,0,8,4328.0,63,30,33,33,0,8,4110.0,66,31,35,35,0,8,3781.0,68,32,36,36,0,9,4486.0,107,52,55,55,0,10,5094.0,66,30,36,36,0,11,4102.0,73,35,38,38,0,9,4131.0,65,31,34,34,0,8,4474.0,55,25,30,30,0,8,3956.0,83,39,44,44,0,9,4433.0,85,41,44,44,0,9,5611.0,110,53,57,57,0,14,5923.0,79.0,39.0,40.0,40,0,9.0,5822.0,82,40,42,42,0,8,5215.0,65,30,35,35,0,9,3226.0,85,40,45,45,0,9,4361.0,74,35,39,39,0,10,4386.0,104,50,54,54,0,11,7508.0
4300,97,47,50,50,0,9,8255.0,82,40,42,42,0,8,4592.0,89,43,46,46,0,9,4955.0,79,38,41,41,0,9,4667.0,74,35,39,39,0,8,4363.0,82,39,43,43,0,10,5091.0,115,56,59,59,0,10,5678.0,74,34,40,40,0,11,4704.0,77,37,40,40,0,9,4698.0,77,37,40,40,0,8,5066.0,67,31,36,36,0,9,4603.0,89,42,47,47,0,9,5031.0,97,47,50,50,0,10,6224.0,118,57,61,61,0,14,6565.0,93.0,46.0,47.0,47,0,10.0,6414.0,1,0,1,1,0,1,376.0,69,32,37,37,0,9,3810.0,101,48,53,53,0,10,4959.0,84,40,44,44,0,11,4979.0,118,57,61,61,0,11,8096.0
4400,107,52,55,55,0,10,8875.0,6,2,4,4,0,3,384.0,95,46,49,49,0,9,5537.0,1,0,1,1,0,1,28.0,82,39,43,43,0,9,4928.0,93,44,49,49,0,10,5641.0,123,60,63,63,0,11,6283.0,87,40,47,47,0,12,5330.0,91,44,47,47,0,10,5298.0,89,43,46,46,0,9,5710.0,75,35,40,40,0,9,5181.0,98,46,52,52,0,9,5623.0,103,50,53,53,0,10,6843.0,128,62,66,66,0,14,7148.0,101.0,50.0,51.0,51,0,10.0,7017.0,7,3,4,4,0,4,983.0,79,37,42,42,0,9,4402.0,103,49,54,54,0,10,5560.0,88,42,46,46,0,11,5564.0,131,63,68,68,0,11,8717.0
