,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
2300,13,6,7,7,0,4,690.0,15,7,8,8,0,4,715.0,15,7,8,8,0,5,643.0,9,4,5,5,0,5,711.0,11,5,6,6,0,5,634.0,11,5,6,6,0,4,578.0,7,3,4,4,0,4,500.0,7,3,4,4,0,4,650.0,9,4,5,5,0,5,1136.0,7,3,4,4,0,3,658.0,7,3,4,4,0,3,613.0,13,6,7,7,0,5,624.0,9,4,5,5,0,4,601.0,17,8,9,9,0,5,650.0,5,2,3,3,0,3,569.0,15,7,8,8,0,5,863.0,11,5,6,6,0,5,685.0,5,2,3,3,0,3,578.0,19,9,10,10,0,5,1144.0,17,8,9,9,0,5,779.0
2400,13,6,7,7,0,4,734.0,15,7,8,8,0,4,770.0,15,7,8,8,0,5,696.0,11,5,6,6,0,5,769.0,13,6,7,7,0,5,683.0,11,5,6,6,0,4,629.0,7,3,4,4,0,4,553.0,7,3,4,4,0,4,700.0,11,5,6,6,0,5,1192.0,7,3,4,4,0,3,712.0,7,3,4,4,0,3,665.0,13,6,7,7,0,5,680.0,9,4,5,5,0,4,658.0,17,8,9,9,0,5,710.0,7,3,4,4,0,4,626.0,15,7,8,8,0,5,912.0,11,5,6,6,0,5,729.0,5,2,3,3,0,3,622.0,1,0,1,1,0,1,96.0,17,8,9,9,0,5,828.0
2500,13,6,7,7,0,4,791.0,15,7,8,8,0,4,822.0,15,7,8,8,0,5,752.0,11,5,6,6,0,5,822.0,13,6,7,7,0,5,734.0,11,5,6,6,0,4,674.0,7,3,4,4,0,4,596.0,7,3,4,4,0,4,742.0,9,4,5,5,0,4,608.0,7,3,4,4,0,3,759.0,7,3,4,4,0,3,718.0,13,6,7,7,0,5,724.0,9,4,5,5,0,4,717.0,17,8,9,9,0,5,762.0,9,4,5,5,0,4,674.0,17,8,9,9,0,5,974.0,11,5,6,6,0,5,776.0,7,3,4,4,0,3,681.0,3,1,2,2,0,2,141.0,17,8,9,9,0,5,873.0
2600,13,6,7,7,0,4,839.0,15,7,8,8,0,4,866.0,15,7,8,8,0,5,799.0,11,5,6,6,0,5,878.0,13,6,7,7,0,5,786.0,11,5,6,6,0,4,731.0,7,3,4,4,0,4,643.0,9,4,5,5,0,5,798.0,9,4,5,5,0,4,654.0,9,4,5,5,0,4,806.0,9,4,5,5,0,4,759.0,13,6,7,7,0,5,771.0,9,4,5,5,0,4,763.0,17,8,9,9,0,5,817.0,9,4,5,5,0,4,724.0,17,8,9,9,0,5,1018.0,13,6,7,7,0,5,826.0,7,3,4,4,0,3,723.0,3,1,2,2,0,2,188.0,17,8,9,9,0,5,924.0
2700,13,6,7,7,0,4,883.0,15,7,8,8,0,4,919.0,15,7,8,8,0,5,841.0,11,5,6,6,0,5,922.0,15,7,8,8,0,5,829.0,11,5,6,6,0,4,778.0,7,3,4,4,0,4,702.0,9,4,5,5,0,5,856.0,9,4,5,5,0,4,705.0,9,4,5,5,0,4,857.0,9,4,5,5,0,4,801.0,15,7,8,8,0,5,818.0,9,4,5,5,0,4,806.0,17,8,9,9,0,5,858.0,9,4,5,5,0,4,772.0,17,8,9,9,0,5,1069.0,13,6,7,7,0,5,877.0,7,3,4,4,0,3,769.0,3,1,2,2,0,2,235.0,19,9,10,10,0,5,981.0
2800,13,6,7,7,0,4,934.0,15,7,8,8,0,4,972.0,17,8,9,9,0,5,886.0,13,6,7,7,0,5,966.0,17,8,9,9,0,6,877.0,11,5,6,6,0,4,825.0,7,3,4,4,0,4,749.0,11,5,6,6,0,5,908.0,11,5,6,6,0,4,756.0,11,5,6,6,0,4,899.0,11,5,6,6,0,4,845.0,15,7,8,8,0,5,874.0,11,5,6,6,0,5,862.0,17,8,9,9,0,5,908.0,11,5,6,6,0,4,819.0,19,9,10,10,0,6,1121.0,13,6,7,7,0,5,931.0,7,3,4,4,0,3,812.0,3,1,2,2,0,2,284.0,19,9,10,10,0,5,1031.0
2900,13,6,7,7,0,4,984.0,15,7,8,8,0,4,1021.0,17,8,9,9,0,5,943.0,13,6,7,7,0,5,1021.0,17,8,9,9,0,6,924.0,11,5,6,6,0,4,884.0,7,3,4,4,0,4,799.0,11,5,6,6,0,5,949.0,13,6,7,7,0,4,803.0,11,5,6,6,0,4,951.0,11,5,6,6,0,4,895.0,17,8,9,9,0,6,924.0,11,5,6,6,0,5,910.0,19,9,10,10,0,5,959.0,15,7,8,8,0,5,869.0,21,10,11,11,0,6,1165.0,15,7,8,8,0,5,981.0,7,3,4,4,0,3,857.0,5,2,3,3,0,3,338.0,23,11,12,12,0,6,1087.0
3000,15,7,8,8,0,5,1033.0,19,9,10,10,0,5,1065.0,17,8,9,9,0,5,987.0,15,7,8,8,0,6,1072.0,17,8,9,9,0,6,970.0,11,5,6,6,0,4,933.0,7,3,4,4,0,4,851.0,11,5,6,6,0,5,997.0,13,6,7,7,0,4,861.0,11,5,6,6,0,4,1003.0,11,5,6,6,0,4,940.0,17,8,9,9,0,6,974.0,11,5,6,6,0,5,958.0,19,9,10,10,0,5,1006.0,15,7,8,8,0,5,922.0,21,10,11,11,0,6,1216.0,17,8,9,9,0,6,1038.0,7,3,4,4,0,3,909.0,5,2,3,3,0,3,391.0,23,11,12,12,0,6,1145.0
3100,15,7,8,8,0,5,1083.0,21,10,11,11,0,5,1112.0,19,9,10,10,0,5,1045.0,15,7,8,8,0,6,1120.0,17,8,9,9,0,6,1010.0,13,6,7,7,0,5,984.0,7,3,4,4,0,4,903.0,11,5,6,6,0,5,1045.0,13,6,7,7,0,4,912.0,11,5,6,6,0,4,1052.0,11,5,6,6,0,4,981.0,19,9,10,10,0,6,1025.0,11,5,6,6,0,5,1010.0,21,10,11,11,0,6,1051.0,15,7,8,8,0,5,973.0,21,10,11,11,0,6,1270.0,17,8,9,9,0,6,1089.0,9,4,5,5,0,4,960.0,5,2,3,3,0,3,446.0,25,12,13,13,0,6,1200.0
3200,15,7,8,8,0,5,1138.0,21,10,11,11,0,5,1158.0,21,10,11,11,0,5,1091.0,15,7,8,8,0,6,1171.0,17,8,9,9,0,6,1055.0,13,6,7,7,0,5,1031.0,9,4,5,5,0,5,953.0,11,5,6,6,0,5,1093.0,15,7,8,8,0,5,964.0,11,5,6,6,0,4,1105.0,11,5,6,6,0,4,1033.0,19,9,10,10,0,6,1077.0,13,6,7,7,0,5,1061.0,3,1,2,2,0,2,52.0,15,7,8,8,0,5,1032.0,21,10,11,11,0,6,1317.0,17,8,9,9,0,6,1141.0,9,4,5,5,0,4,1004.0,7,3,4,4,0,3,500.0,25,12,13,13,0,6,1247.0
